,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
Other glycan degradation,"('ulvan degradation', 0.7082376967838239)","('muropeptide degradation', 0.6932002628117752)","('glucuronoarabinoxylan degradation', 0.6826328700791614)","('L-arabinan degradation', 0.6826328700791614)","('chitin derivatives degradation', 0.6750250467966168)"
Lipopolysaccharide biosynthesis,"(""(-)-4'-demethyl-epipodophyllotoxin biosynthesis"", 0.663666676381007)","('(-)-microperfuranone biosynthesis', 0.663666676381007)","('(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis', 0.663666676381007)","('(4S)-carvone biosynthesis', 0.663666676381007)","('(7Z,10Z,13Z)-hexadecatrienoate biosynthesis', 0.663666676381007)"
O-Antigen repeat unit biosynthesis,"('colibactin biosynthesis', 0.6385923641172607)","('zwittermicin A biosynthesis', 0.6128074056772319)","('spectinabilin biosynthesis', 0.5961799443415501)","('CDP-abequose biosynthesis', 0.5959782519291759)","('CDP-tyvelose biosynthesis', 0.5959782519291759)"
O-Antigen nucleotide sugar biosynthesis,"('drosopterin and aurodrosopterin biosynthesis', 0.7046578494129107)","('wybutosine biosynthesis', 0.6982713695384427)","('colibactin biosynthesis', 0.6967443016097118)","('superpathway of erythromycin biosynthesis (without sugar biosynthesis)', 0.6950509282017096)","('hypusine biosynthesis', 0.6904484191091985)"
Peptidoglycan biosynthesis,"('chitin biosynthesis', 0.8827933201594638)","('muropeptide degradation', 0.8576864837865241)","(""(-)-4'-demethyl-epipodophyllotoxin biosynthesis"", 0.8574634762558393)","('(-)-microperfuranone biosynthesis', 0.8574634762558393)","('(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis', 0.8574634762558393)"
Teichoic acid biosynthesis,"('poly(glycerol phosphate) wall teichoic acid biosynthesis', 0.9161602319938594)","('colanic acid building blocks biosynthesis', 0.9148696422561662)","('CMP-diacetamido-8-epilegionaminic acid biosynthesis', 0.9017946930461501)","('stellatic acid biosynthesis', 0.9017946930461501)","('abietic acid biosynthesis', 0.8783532249150864)"
Lipoarabinomannan (LAM) biosynthesis,"('peptidoglycan biosynthesis III (mycobacteria)', 0.7421725132895651)","('sphingolipid biosynthesis (yeast)', 0.72907733500999)","('hopanoid biosynthesis (bacteria)', 0.7082317368117061)","('sphingolipid biosynthesis (plants)', 0.7076546523032019)","('L-cysteine biosynthesis V (mycobacteria)', 0.7071919866504398)"
Arabinogalactan biosynthesis - Mycobacterium,"('peptidoglycan biosynthesis III (mycobacteria)', 0.7163418998030572)","('colibactin biosynthesis', 0.6947310908626293)","('mycobacterial sulfolipid biosynthesis', 0.6852269689548293)","('zwittermicin A biosynthesis', 0.6710770245528636)","('mycolate biosynthesis', 0.6698308723754742)"
Exopolysaccharide biosynthesis,"('acetan biosynthesis', 1.0000000207208628)","('succinoglycan biosynthesis', 1.0000000207208628)","('prodigiosin biosynthesis', 0.8761720232098519)","('rhamnolipid biosynthesis', 0.8761720232098519)","('sophorolipid biosynthesis', 0.8761720232098519)"
Thiamine metabolism,"('thiamine triphosphate metabolism', 0.8396794617872916)","('ethiin metabolism', 0.8252015574876467)","('N-glucosylnicotinate metabolism', 0.8252015574876467)","('superpathway of L-citrulline metabolism', 0.8020486981712945)","('superpathway of L-threonine metabolism', 0.7881341204232479)"
Riboflavin metabolism,"('superpathway of seleno-compound metabolism', 0.7991779753847739)","('ethiin metabolism', 0.7987172496783528)","('N-glucosylnicotinate metabolism', 0.7987172496783528)","('L-carnitine biosynthesis', 0.7647079328724703)","('superpathway of nicotinate degradation', 0.7629572351869409)"
Vitamin B6 metabolism,"('vitamin E biosynthesis (tocopherols)', 0.7676498078317608)","('vitamin E biosynthesis (tocotrienols)', 0.7676498078317608)","('vitamin K degradation', 0.7124440572549018)","('vitamin K-epoxide cycle', 0.685308755173302)","('desferrioxamine E biosynthesis', 0.6584599707320644)"
Nicotinate and nicotinamide metabolism,"('NAD biosynthesis from nicotinamide', 0.8284916917557206)","('di-myo-inositol phosphate biosynthesis', 0.7441960556927445)","('PRPP biosynthesis', 0.7275649226117277)","('NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde', 0.7157411582297152)","('NAD salvage pathway IV (from nicotinamide riboside)', 0.713123348784707)"
Pantothenate and CoA biosynthesis,"('NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde', 0.8885607836256162)","('calonectrin biosynthesis', 0.8712199585983104)","('methanofuran biosynthesis', 0.8712199585983104)","('pyruvate decarboxylation to acetyl CoA II', 0.8605476432005948)","('pyruvate decarboxylation to acetyl CoA I', 0.8569467495207556)"
Biotin metabolism,"('ethiin metabolism', 0.6928298911225614)","('N-glucosylnicotinate metabolism', 0.6928298911225614)","('biotin biosynthesis II', 0.6742888893224342)","('biotin biosynthesis I', 0.6542482548499899)","('superpathway of seleno-compound metabolism', 0.632580090803742)"
Lipoic acid metabolism,"('fusaric acid biosynthesis', 0.8979923662565314)","('domoic acid biosynthesis', 0.8373931352389061)","('abietic acid biosynthesis', 0.8272380675775787)","('betalamic acid biosynthesis', 0.8272380675775787)","('dehydroabietic acid biosynthesis', 0.8272380675775787)"
Folate biosynthesis,"('retinol biosynthesis', 0.7870887599755244)","('L-carnitine biosynthesis', 0.7510650430698825)","(""(-)-4'-demethyl-epipodophyllotoxin biosynthesis"", 0.7419389691135894)","('(-)-microperfuranone biosynthesis', 0.7419389691135894)","('(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis', 0.7419389691135894)"
One carbon pool by folate,"('glutamate removal from folates', 0.5513039104484405)","('superpathway of ammonia assimilation (plants)', 0.5446783185003741)","('sulfur oxidation IV (intracellular sulfur)', 0.5429364812600985)","('superpathway of adenosylcobalamin salvage from cobinamide I', 0.5351568654595094)","('superpathway of adenosylcobalamin salvage from cobinamide II', 0.5298473024794152)"
Retinol metabolism,"('retinol biosynthesis', 0.8895607575151501)","('ethiin metabolism', 0.7573637230651682)","('N-glucosylnicotinate metabolism', 0.7573637230651682)","('superpathway of seleno-compound metabolism', 0.7527130629909993)","('fructosyllysine and glucosyllysine metabolism', 0.7156413141553394)"
Porphyrin metabolism,"('fructosyllysine and glucosyllysine metabolism', 0.7700807793866851)","('ethiin metabolism', 0.7692823002115453)","('N-glucosylnicotinate metabolism', 0.7692823002115453)","('ethanedisulfonate degradation', 0.7682293251552718)","('dipicolinate biosynthesis', 0.7610584478712203)"
Ubiquinone and other terpenoid-quinone biosynthesis,"('tetrahydrosarcinapterin biosynthesis', 0.9297012538080757)","('2-hydroxyparaconate and itatartarate biosynthesis', 0.909200163593512)","('bassianin and desmethylbassianin biosynthesis', 0.909200163593512)","('dalpatein and dalnigrein biosynthesis', 0.909200163593512)","('dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis', 0.909200163593512)"
Terpenoid backbone biosynthesis,"('capsidiol biosynthesis', 0.9235035257555435)","('sesquiterpenoid phytoalexins biosynthesis', 0.8823667279864392)","('diterpene phytoalexins precursors biosynthesis', 0.8792942055066378)","('beta-carboline biosynthesis', 0.8569534553536879)","('cyathin biosynthesis', 0.8561829294180756)"
Monoterpenoid biosynthesis,"('bisbenzylisoquinoline alkaloid biosynthesis', 0.9729644049428269)","('acridone alkaloid biosynthesis', 0.940365652512941)","('tropane alkaloids biosynthesis', 0.9224741814326771)","('equisetin biosynthesis', 0.9201317152907132)","('lyngbyatoxin biosynthesis', 0.9201317152907132)"
Sesquiterpenoid and triterpenoid biosynthesis,"('erinacine biosynthesis', 0.9326663930601644)","('pentacyclic triterpene biosynthesis', 0.923345734101157)","('cardenolide glucosides biosynthesis', 0.9147267998699175)","('kauralexin biosynthesis', 0.9045575634460046)","('aloenin biosynthesis', 0.8938369937280344)"
Diterpenoid biosynthesis,"('5-deoxystrigol biosynthesis', 1.000000012400352)","('6-methoxypodophyllotoxin biosynthesis', 1.000000012400352)","('dhurrin biosynthesis', 1.000000012400352)","('echinatin biosynthesis', 1.000000012400352)","('leucodelphinidin biosynthesis', 1.000000012400352)"
Carotenoid biosynthesis,"('chlorobactene biosynthesis', 1.000000048278011)","('neurosporaxanthin biosynthesis', 1.000000048278011)","('neurosporene biosynthesis', 1.000000048278011)","('anthocyanin biosynthesis', 0.9194397101778797)","('betacyanin biosynthesis', 0.9194397101778797)"
Brassinosteroid biosynthesis,"('ureide biosynthesis', 0.9317475745699252)","('superpathway of gibberellin biosynthesis', 0.8982682957464215)","('anthocyanin biosynthesis', 0.88007663953049)","('betacyanin biosynthesis', 0.88007663953049)","('betaxanthin biosynthesis', 0.88007663953049)"
Insect hormone biosynthesis,"('thyroid hormone biosynthesis', 0.8006330824847139)","('superpathway of steroid hormone biosynthesis', 0.7767466328433624)","('glucocorticoid biosynthesis', 0.7248094974174172)","('androgen biosynthesis', 0.7212503076912639)","('progesterone biosynthesis', 0.7113370537420682)"
Zeatin biosynthesis,"('ureide biosynthesis', 1.0000000120318209)","('DIMBOA-glucoside biosynthesis', 0.8873059811120629)","('gramine biosynthesis', 0.8873059811120629)","('peramine biosynthesis', 0.8873059811120629)","('willardiine and isowillardiine biosynthesis', 0.8841282449078565)"
Limonene degradation,"('1,8-cineole degradation', 1.0000000503861486)","('citronellol degradation', 0.9240682249113384)","('adamantanone degradation', 0.884705489019253)","('geraniol and nerol degradation', 0.8663123870704145)","('limonene degradation I (D-limonene)', 0.853411781494656)"
"Pinene, camphor and geraniol degradation","('geraniol and nerol degradation', 0.9094299921184174)","('citronellol degradation', 0.8855877180354395)","('geraniol and geranial biosynthesis', 0.8765395991645301)","('valencene and 7-epi-&alpha;-selinene biosynthesis', 0.8492449822756721)","('adamantanone degradation', 0.8264382577025154)"
Type I polyketide structures,"('santalene biosynthesis I', 0.8189792719257382)","('santalene biosynthesis II', 0.7903399294052549)","('rhamnogalacturonan type I degradation I', 0.7603153248435615)","('(5Z)-dodecenoate biosynthesis I', 0.7385404311379946)","('1,4-dihydroxy-6-naphthoate biosynthesis I', 0.7385404311379946)"
"Biosynthesis of 12-, 14- and 16-membered macrolides","('methymycin, neomethymycin and novamethymycin biosynthesis', 0.771268115689732)","('rifamycin B biosynthesis', 0.6852538880579983)","('megalomicin A biosynthesis', 0.6827571281615489)","('sulfazecin biosynthesis', 0.6775857915123754)","('superpathway of penicillin, cephalosporin and cephamycin biosynthesis', 0.6648355381870544)"
Biosynthesis of ansamycins,"('taxol biosynthesis', 0.6598190281811528)","('bryostatin biosynthesis', 0.6575608333515263)","('toyocamycin biosynthesis', 0.6575608333515263)","('sangivamycin biosynthesis', 0.6542827760861153)","('tunicamycin biosynthesis', 0.6517788636731505)"
Biosynthesis of enediyne antibiotics,"('dapdiamides biosynthesis', 0.8041813205089817)","('FR-900098 and FR-33289 antibiotics biosynthesis', 0.7600947169705424)","('echinomycin and triostin A biosynthesis', 0.7458744082034524)","('cinchona alkaloids biosynthesis', 0.7178930472213217)","('cyathin biosynthesis', 0.7177396404786804)"
Biosynthesis of type II polyketide backbone,"('santalene biosynthesis II', 0.8733446811551381)","('santalene biosynthesis I', 0.8543463637743582)","('alkane biosynthesis II', 0.7840524350834258)","('(5Z)-dodecenoate biosynthesis II', 0.7832152467029156)","('(S)-reticuline biosynthesis II', 0.7832152467029156)"
Biosynthesis of type II polyketide products,"('santalene biosynthesis II', 0.8727869372659214)","('santalene biosynthesis I', 0.8493241597029507)","('(5Z)-dodecenoate biosynthesis II', 0.7789586366705388)","('(S)-reticuline biosynthesis II', 0.7789586366705388)","('1,4-dihydroxy-6-naphthoate biosynthesis II', 0.7789586366705388)"
Tetracycline biosynthesis,"('oleandomycin biosynthesis', 0.8558782198726881)","('ribostamycin biosynthesis', 0.8558782198726881)","('chloramphenicol biosynthesis', 0.8541291711298447)","('butirosin biosynthesis', 0.8528215028055635)","('gentamicin biosynthesis', 0.8468392315136514)"
Polyketide sugar unit biosynthesis,"('aureothin biosynthesis', 0.8882114510873007)","('CDP-paratose biosynthesis', 0.8882114510873007)","('furaquinocin biosynthesis', 0.8882114510873007)","('jadomycin biosynthesis', 0.8882114510873007)","('mycinamicin biosynthesis', 0.8882114510873007)"
Nonribosomal peptide structures,"('taxadiene biosynthesis (engineered)', 0.6624056009787852)","('marneral biosynthesis', 0.6483098502884376)","('aureothin biosynthesis', 0.6417554135151181)","('CDP-paratose biosynthesis', 0.6417554135151181)","('furaquinocin biosynthesis', 0.6417554135151181)"
Biosynthesis of siderophore group nonribosomal peptides,"('aureothin biosynthesis', 0.7909952617716335)","('CDP-paratose biosynthesis', 0.7909952617716335)","('furaquinocin biosynthesis', 0.7909952617716335)","('jadomycin biosynthesis', 0.7909952617716335)","('mycinamicin biosynthesis', 0.7909952617716335)"
Biosynthesis of vancomycin group antibiotics,"('superpathway of penicillin, cephalosporin and cephamycin biosynthesis', 0.7674882396428512)","('rosamicin biosynthesis', 0.7601466093312054)","('clavulanate biosynthesis', 0.7491741873084171)","('methymycin, neomethymycin and novamethymycin biosynthesis', 0.7343690143160959)","('gentamicin biosynthesis', 0.7336420344104666)"
Phenylpropanoid biosynthesis,"('(+)-pisatin biosynthesis', 0.999999958628028)","('botrydial biosynthesis', 0.999999958628028)","('monolignol biosynthesis', 0.999999958628028)","('monolignol glucosides biosynthesis', 0.9422533774054832)","('capsidiol biosynthesis', 0.9234856866460267)"
"Stilbenoid, diarylheptanoid and gingerol biosynthesis","('solasodine and soladulcidine biosynthesis', 0.9103960311061933)","('cardenolide glucosides biosynthesis', 0.9063508319953416)","('sarcinaxanthin diglucoside biosynthesis', 0.906312563713195)","('pentacyclic triterpene biosynthesis', 0.9022614211359398)","('vestitol and sativan biosynthesis', 0.9013076597929413)"
Flavonoid biosynthesis,"('kauralexin biosynthesis', 0.865073307497823)","('phenolic malonylglucosides biosynthesis', 0.8547749314308554)","('nepetalactone biosynthesis', 0.8287574359753123)","('bixin biosynthesis', 0.821251744391349)","('6-methoxymellein biosynthesis', 0.815700960655629)"
Flavone and flavonol biosynthesis,"('leucopelargonidin and leucocyanidin biosynthesis', 0.9742212667292436)","('solasodine and soladulcidine biosynthesis', 0.9651368019848676)","('cyanidin 3,7-diglucoside polyacylation biosynthesis', 0.9640901982881538)","('cyanidin dimalonylglucoside biosynthesis', 0.963399250827526)","('calystegine biosynthesis', 0.9633992494168563)"
Anthocyanin biosynthesis,"('anthocyanin biosynthesis', 1.000000077767199)","('betacyanin biosynthesis', 1.000000077767199)","('betaxanthin biosynthesis', 1.000000077767199)","('bikaverin biosynthesis', 1.000000077767199)","('gentiodelphin biosynthesis', 1.000000077767199)"
